id,game,year,genre,publisher,North America,europe,japan,Rest of World,global
659,Shaq-Fu: A Legend Reborn,2018,Action,Wired Productions,0.02,0.00,0.00,0.00,0.02
660,Patapon Remastered,2017,Music,Sony Interactive Entertainment,0.00,0.00,0.02,0.00,0.02
661,Monster Hunter Frontier Z: Beginner's Package,2016,Action,Capcom,0.00,0.00,0.02,0.00,0.02
662,Professional Farmer 2016,2015,Action,Namco Bandai Games,0.00,0.02,0.00,0.00,0.02
663,Natsuiro High School: Seishun Hakusho,2015,Action,D3Publisher,0.00,0.00,0.02,0.00,0.02
664,The Inner World: The Last Wind Monk,2017,Puzzle,Kalypso Media,0.02,0.00,0.00,0.00,0.02
665,SteamWorld Collection,2016,Misc,Rising Star Games,0.02,0.00,0.00,0.00,0.02
666,Konoyo no Hate de Koi o Utau Shoujo: Yu-No,2017,Visual Novel,5pb,0.00,0.00,0.02,0.00,0.02
667,God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,2016,Misc,Namco Bandai Games,0.00,0.00,0.02,0.00,0.02
668,Genkai Tokki: Castle Panzers,2017,Role-Playing,Compile Heart,0.00,0.00,0.02,0.00,0.02
669,Skullgirls: 2nd Encore,2016,Fighting,Arc System Works,0.00,0.00,0.02,0.00,0.02
670,This Is The Police,2017,Simulation,THQ Nordic,0.01,0.00,0.00,0.00,0.02
671,Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0.00,0.01,0.00,0.00,0.02
672,FlatOut 4: Total Insanity,2017,Racing,Bigben Interactive,0.01,0.00,0.00,0.00,0.02
673,Chaos;Child,2015,Visual Novel,PQube,0.00,0.00,0.02,0.00,0.02
674,Touhou Shinhiroku: Urban Legend in Limbo,2016,Fighting,Mediascape,0.00,0.00,0.02,0.00,0.02
675,Rogue Trooper: Redux,2017,Shooter,Rebellion,0.01,0.00,0.00,0.00,0.02
676,Space Hulk: Deathwing,2015,Shooter,Focus Home Interactive,0.00,0.01,0.00,0.00,0.02
677,Pharaonic,2017,Action,Soedesco,0.01,0.00,0.00,0.00,0.02
678,White Day,2017,Action,PQube,0.00,0.01,0.01,0.00,0.02
679,Torment: Tides of Numenera,2017,Role-Playing,Techland,0.01,0.00,0.00,0.00,0.01
680,Let It Die,2017,Action,GungHo,0.00,0.01,0.01,0.00,0.01
681,Summer Lesson: Miyamoto Hikari Collection,2017,Adventure,Namco Bandai Games,0.00,0.00,0.01,0.00,0.01
682,Raven's Cry,2015,Role-Playing,TopWare Interactive,0.00,0.01,0.00,0.00,0.01
683,New Game! The Challenge Stage!,2017,Adventure,5pb,0.00,0.00,0.01,0.00,0.01
684,Hakoniwa Company Works,2017,Strategy,Nippon Ichi Software,0.00,0.00,0.01,0.00,0.01
685,DJ Max Respect,2017,Misc,Arc System Works,0.00,0.00,0.01,0.00,0.01
686,Battle Worlds: Kronos,2016,Strategy,Nordic Games,0.01,0.00,0.00,0.00,0.01
687,Dragon's Dogma Online: Season 3,2017,Role-Playing,Capcom,0.00,0.00,0.01,0.00,0.01
688,Occultic;Nine,2017,Adventure,5pb,0.00,0.00,0.01,0.00,0.01
689,Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,2017,Adventure,5pb,0.00,0.00,0.01,0.00,0.01
690,Battle Garegga Rev.2016,2016,Strategy,M2,0.00,0.00,0.01,0.00,0.01
691,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,2017,Adventure,5pb,0.00,0.00,0.01,0.00,0.01
692,Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0.00,0.01,0.00,0.00,0.01
693,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,2017,Adventure,5pb,0.00,0.00,0.01,0.00,0.01
694,Zombie Vikings,2016,Action,Rising Star Games,0.00,0.01,0.00,0.00,0.01
695,ATV Renegades,2017,Racing,Nighthawk Interactive,0.01,0.00,0.00,0.00,0.01
696,Ziggurat,2016,Shooter,Soedesco,0.00,0.01,0.00,0.00,0.01
697,Chaos;Child: Love Chu Chu!!,2017,Visual Novel,5pb,0.00,0.00,0.01,0.00,0.01
698,Moto Racer 4,2016,Racing,PQube,0.01,0.00,0.00,0.00,0.01
699,LocoRoco Remastered,2017,Platform,Sony Interactive Entertainment,0.00,0.00,0.01,0.00,0.01
700,Lock's Quest,2017,Strategy,THQ Nordic,0.01,0.00,0.00,0.00,0.01
701,Gal Gun: Double Peace,2015,Action,PQube,0.00,0.00,0.01,0.00,0.01
702,Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0.00,0.01,0.00,0.00,0.01
703,Akiba's Trip 2+A,2017,Adventure,Acquire,0.00,0.00,0.01,0.00,0.01
704,Date-A-Live Twin Edition: Rio Reincarnation,2017,Adventure,Compile Heart,0.00,0.00,0.01,0.00,0.01
705,Valhalla Hills,2017,Strategy,Kalypso Media,0.01,0.00,0.00,0.00,0.01
706,Deception IV: Blood Ties,2015,Action,Tecmo Koei,0.00,0.00,0.01,0.00,0.01
707,One Piece: Unlimited World Red,2017,Action,Namco Bandai Games,0.00,0.00,0.01,0.00,0.01
708,Hyper Light Drifter,2017,Role-Playing,Active Gaming Media,0.00,0.00,0.01,0.00,0.01
709,Teslagrad,2014,Platform,Rain Games,0.00,0.01,0.00,0.00,0.01
710,Darius Burst: Chronicle Saviours,2017,Action,Kadokawa Games,0.00,0.00,0.01,0.00,0.01
