id,game,year,genre,publisher,North America,europe,japan,Rest of World,global
30,Watch Dogs,2014,Action-Adventure,Ubisoft,1.40,2.13,0.11,0.68,4.32
31,Call of Duty: Ghosts,2013,Shooter,Activision,1.79,1.64,0.05,0.69,4.17
32,Assassin's Creed: Unity,2014,Action,Ubisoft,1.25,2.16,0.09,0.65,4.14
33,Destiny 2,2017,Shooter,Activision,1.92,1.44,0.10,0.69,4.14
34,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive,1.65,1.68,0.11,0.66,4.11
35,Assassin's Creed Origins,2017,Action,Ubisoft,1.22,2.11,0.11,0.63,4.06
36,Far Cry 4,2014,Shooter,Ubisoft,1.18,2.14,0.11,0.63,4.06
37,NBA 2K16,2015,Sports,2K Sports,2.56,0.66,0.05,0.71,3.98
38,Far Cry 5,2018,Action,Ubisoft,1.44,1.73,0.15,0.62,3.95
39,Battlefield 4,2013,Shooter,Electronic Arts,1.40,1.74,0.19,0.62,3.94
40,Gran Turismo Sport,2017,Racing,Sony Interactive Entertainment,0.63,2.35,0.24,0.54,3.77
41,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.90,2.06,0.08,0.55,3.60
42,NBA 2K17,2016,Sports,2K Sports,2.28,0.59,0.03,0.63,3.52
43,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.94,0.94,0.00,0.61,3.49
44,FIFA Soccer 14,2013,Sports,EA Sports,0.62,2.18,0.12,0.51,3.43
45,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1.24,1.50,0.08,0.54,3.36
46,Watch Dogs 2,2016,Action,Ubisoft,0.98,1.74,0.12,0.52,3.36
47,NBA 2K18,2017,Sports,2K Sports,2.13,0.57,0.04,0.59,3.34
48,Resident Evil VII: Biohazard,2017,Action,Capcom,0.88,1.56,0.41,0.46,3.31
49,Madden NFL 16,2015,Sports,EA Sports,2.39,0.31,0.00,0.61,3.30
50,Madden NFL 17,2016,Sports,EA Sports,2.30,0.37,0.00,0.60,3.28
51,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,1.03,1.60,0.05,0.51,3.19
52,Assassin's Creed IV: Black Flag,2013,Action-Adventure,Ubisoft,1.07,1.55,0.06,0.51,3.19
53,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,1.07,1.35,0.22,0.47,3.12
54,Bloodborne,2015,Role-Playing,Sony Computer Entertainment,1.30,1.05,0.28,0.48,3.11
55,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.97,1.15,0.50,0.42,3.04
56,Killzone: Shadow Fall,2013,Shooter,Sony Computer Entertainment,0.89,1.58,0.08,0.47,3.02
57,inFAMOUS: Second Son,2014,Action-Adventure,Sony Computer Entertainment,1.35,1.09,0.07,0.50,3.01
58,Doom (2016),2016,Shooter,Bethesda Softworks,0.93,1.48,0.04,0.46,2.92
59,Mafia III,2016,Action-Adventure,2K Games,0.72,1.67,0.04,0.44,2.87
60,Diablo III,2014,Role-Playing,Blizzard Entertainment,0.83,1.48,0.08,0.44,2.82
61,Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.63,1.61,0.07,0.41,2.73
62,Need for Speed (2015),2015,Racing,Electronic Arts,0.59,1.66,0.06,0.41,2.72
63,Madden NFL 18,2017,Sports,EA Sports,1.73,0.42,0.00,0.47,2.62
64,NBA 2K15,2014,Sports,2K Sports,1.49,0.55,0.01,0.44,2.49
65,Dying Light,2015,Action,Warner Bros. Interactive,1.18,0.74,0.13,0.40,2.45
66,Dark Souls III,2016,Role-Playing,Namco Bandai Games,1.00,0.63,0.44,0.34,2.42
67,Ratchet & Clank (2016),2016,Platform,Sony Interactive Entertainment,0.97,0.97,0.06,0.39,2.38
68,DriveClub,2014,Racing,Sony Computer Entertainment,0.37,1.63,0.02,0.36,2.37
69,Uncharted: The Lost Legacy,2017,Action,Sony Interactive Entertainment,0.58,1.38,0.04,0.36,2.37
70,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,1.07,0.80,0.08,0.38,2.34
71,No Man's Sky,2016,Action-Adventure,Hello Games,0.89,0.97,0.04,0.37,2.26
72,Madden NFL 15,2014,Sports,EA Sports,1.58,0.25,0.00,0.41,2.25
73,Need for Speed: Payback,2017,Racing,Electronic Arts,0.62,1.18,0.04,0.34,2.18
74,Destiny: The Taken King,2015,Shooter,Activision,0.97,0.80,0.05,0.36,2.18
75,Need for Speed Rivals,2013,Racing,Electronic Arts,0.75,1.04,0.03,0.35,2.17
76,PlayStation VR Worlds,2016,Misc,Sony Interactive Entertainment,0.36,1.40,0.09,0.32,2.16
77,Battlefield: Hardline,2015,Shooter,Electronic Arts,0.72,0.97,0.14,0.33,2.15
78,Rise of the Tomb Raider,2016,Adventure,Square Enix,0.61,1.08,0.05,0.32,2.07
79,LittleBigPlanet 3,2014,Platform,Sony Computer Entertainment,0.78,0.93,0.01,0.34,2.06
80,The Elder Scrolls Online,2015,MMO,Bethesda Softworks,0.74,0.98,0.00,0.33,2.05
81,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,0.82,0.84,0.06,0.33,2.04
82,Dragon Quest XI,2017,Role-Playing,Square Enix,0.29,0.22,1.43,0.10,2.04
83,Rocket League,2016,Sports,505 Games,0.37,1.34,0.00,0.31,2.02
84,Just Cause 3,2015,Action-Adventure,Square Enix,0.53,1.07,0.09,0.30,1.98
85,Dishonored 2,2016,Action,Bethesda Softworks,0.62,1.02,0.01,0.31,1.97
86,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.59,1.00,0.01,0.30,1.91
87,Until Dawn,2015,Adventure,Sony Computer Entertainment,0.62,0.92,0.06,0.30,1.90
88,Knack,2013,Platform,Sony Computer Entertainment,0.45,0.77,0.42,0.23,1.88
89,The Evil Within,2014,Action,Bethesda Softworks,0.56,0.90,0.11,0.28,1.86
90,The Crew,2014,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79
91,Kingdom Hearts 1.5 + 2.5 Remix,2017,Role-Playing,Square Enix,0.75,0.51,0.23,0.26,1.75
92,For Honor,2017,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75
93,Titanfall 2,2016,Shooter,Electronic Arts,0.75,0.62,0.06,0.28,1.72
94,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.88,0.54,0.00,0.29,1.72
95,NieR Automata,2017,Role-Playing,Square Enix,0.56,0.51,0.42,0.22,1.71
96,Tekken 7,2017,Fighting,Namco Bandai Games,0.60,0.72,0.12,0.26,1.70
97,Persona 5,2016,Role-Playing,Deep Silver,0.62,0.34,0.48,0.20,1.64
98,The Order: 1886,2015,Shooter,Sony Computer Entertainment,0.44,0.86,0.07,0.25,1.62
99,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.48,0.84,0.03,0.25,1.61
100,Detroit: Become Human,2018,Adventure,Sony Interactive Entertainment,0.55,0.67,0.12,0.24,1.57
101,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.71,0.47,0.12,0.24,1.54
102,NBA 2K14,2013,Sports,2K Sports,0.91,0.35,0.01,0.27,1.54
103,Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.47,0.74,0.06,0.23,1.51
104,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.54,0.59,0.14,0.23,1.50
105,Rayman Legends,2014,Platform,Ubisoft,0.22,1.05,0.00,0.23,1.50
106,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.58,0.67,0.00,0.25,1.49
107,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.61,0.51,0.12,0.23,1.46
108,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.62,0.57,0.00,0.24,1.43
109,The Sims 4,2017,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39
110,Street Fighter V,2016,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39
111,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36
112,WWE 2K18,2017,Sports,2K Sports,0.45,0.67,0.00,0.22,1.33
113,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.30,0.78,0.02,0.20,1.31
114,EA Sports UFC 2,2016,Sports,EA Sports,0.44,0.65,0.00,0.21,1.31
115,The Last Guardian,2016,Action-Adventure,Sony Interactive Entertainment,0.40,0.58,0.13,0.19,1.29
116,WWE 2K16,2015,Sports,Take-Two Interactive,0.43,0.65,0.00,0.21,1.29
117,Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28
118,Project CARS,2015,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28
119,WWE 2K17,2016,Sports,2K Games,0.32,0.70,0.00,0.19,1.22
120,Guitar Hero Live,2015,Music,Activision,0.52,0.49,0.00,0.20,1.21
121,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.36,0.50,0.17,0.17,1.20
122,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.20
123,Shadow of the Colossus,2018,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.20
124,Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Role-Playing,Square Enix,0.57,0.25,0.20,0.17,1.20
125,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19
126,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.48,0.50,0.00,0.20,1.18
127,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18
128,WWE 2K15,2014,Sports,2K Sports,0.40,0.57,0.00,0.19,1.16
129,MLB The Show 17,2017,Sports,Sony Interactive Entertainment,0.94,0.00,0.00,0.22,1.16
130,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14
131,The Elder Scrolls V: Skyrim PSVR,2017,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13
132,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.33,0.60,0.00,0.18,1.11
133,EA Sports UFC,2014,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11
134,Final Fantasy XII: The Zodiac Age,2017,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.10
135,Alien: Isolation,2014,Adventure,Sega,0.29,0.59,0.05,0.16,1.09
136,MLB The Show 18,2018,Sports,Sony Interactive Entertainment,0.86,0.00,0.00,0.20,1.06
137,The Evil Within II,2017,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05
138,Prey (2017),2017,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04
139,Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.40,0.33,0.16,0.15,1.04
140,Ni-Oh,2017,Action,Tecmo Koei,0.34,0.36,0.20,0.14,1.03
141,MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.75,0.08,0.00,0.19,1.01
142,Steep,2016,Sports,Ubisoft,0.23,0.60,0.02,0.15,1.01
143,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01
144,Evolve,2015,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01
145,Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0.00,0.17,0.98
146,EA Sports UFC 3,2018,Sports,EA Sports,0.40,0.41,0.01,0.16,0.97
147,Madden NFL 25,2013,Sports,EA Sports,0.64,0.15,0.00,0.17,0.96
148,MLB 16: The Show,2016,Sports,Sony Computer Entertainment,0.78,0.00,0.00,0.18,0.96
149,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0.00,0.16,0.94
150,Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.90
151,Ni no Kuni II: Revenant Kingdom,2018,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89
152,God of War III,2015,Action,Sony Computer Entertainment,0.40,0.33,0.02,0.15,0.89
153,Fortnite,2017,Action,Gearbox Software,0.42,0.32,0.00,0.15,0.89
154,LEGO Harry Potter Collection,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0.00,0.13,0.88
155,Minecraft: Story Mode,2015,Adventure,Mojang,0.31,0.42,0.00,0.14,0.87
156,BioShock The Collection,2016,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86
157,Thief 4,2014,Action,Square Enix,0.28,0.41,0.03,0.13,0.85
158,Until Dawn: Rush of Blood,2016,Shooter,Sony Interactive Entertainment,0.50,0.21,0.00,0.15,0.85
159,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.31,0.40,0.00,0.14,0.85
160,Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85
161,The Crew 2,2018,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82
162,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.10,0.82
163,ARK: Survival Evolved,2017,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81
164,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,Square Enix,0.21,0.14,0.39,0.07,0.81
165,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79
166,Final Fantasy XIV: A Realm Reborn,2014,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79
167,Destiny: The Collection,2016,Shooter,Activision,0.24,0.40,0.02,0.12,0.78
168,F1 2016 (Codemasters),2016,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78
169,Hitman (2016),2017,Action,Square Enix,0.24,0.36,0.06,0.11,0.78
170,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.10,0.76
171,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75
172,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75
173,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.00,0.13,0.75
174,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75
175,Sniper Elite 3,2014,Shooter,505 Games,0.25,0.37,0.00,0.12,0.74
176,MLB 14 The Show,2014,Sports,Sony Computer Entertainment,0.59,0.00,0.00,0.14,0.73
177,WipEout Omega Collection,2017,Racing,Sony Interactive Entertainment,0.12,0.49,0.00,0.11,0.72
178,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72
179,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71
180,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.36,0.19,0.04,0.11,0.70
181,Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.10,0.69
182,Yakuza 6,2016,Adventure,Sega,0.16,0.10,0.38,0.05,0.69
183,F1 2015,2015,Racing,Codemasters,0.10,0.45,0.04,0.10,0.68
184,METRO 2033,2014,Shooter,Deep Silver,0.22,0.31,0.05,0.10,0.68
185,Rocksmith 2014,2014,Music,Ubisoft,0.38,0.17,0.00,0.12,0.67
186,NHL 16,2015,Sports,EA Sports,0.38,0.16,0.00,0.12,0.66
187,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.24,0.30,0.01,0.11,0.66
188,Tales of Berseria,2016,Role-Playing,Namco Bandai Games,0.22,0.10,0.26,0.07,0.65
189,Yakuza Zero: The Place of Oath,2015,Adventure,Sega,0.22,0.16,0.19,0.08,0.65
190,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65
191,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.10,0.64
192,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.22,0.31,0.00,0.10,0.63
193,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.00,0.10,0.62
194,World of Final Fantasy,2016,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62
195,F1 2017,2017,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62
196,NHL 15,2014,Sports,EA Sports,0.32,0.19,0.00,0.11,0.62
197,Knowledge is Power,2017,Party,Sony Interactive Entertainment,0.05,0.47,0.00,0.09,0.61
198,L.A. Noire,2017,Adventure,Rockstar Games,0.18,0.32,0.00,0.10,0.60
199,Hidden Agenda,2017,Adventure,Sony Interactive Entertainment,0.08,0.42,0.00,0.09,0.59
200,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.17,0.30,0.03,0.09,0.58
201,Dragon Quest Builders: Revive Alefgard,2016,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58
202,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0.00,0.09,0.57
203,Resident Evil: Revelations 2,2015,Action,Capcom,0.14,0.25,0.11,0.07,0.57
204,Rock Band 4,2015,Music,Harmonix Music Systems,0.41,0.06,0.00,0.10,0.57
205,NHL 18,2017,Sports,EA Sports,0.31,0.16,0.00,0.10,0.57
206,Everybody's Golf,2017,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56
207,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.20,0.26,0.02,0.09,0.56
208,DOOM VFR,2017,Shooter,Bethesda Softworks,0.22,0.25,0.00,0.09,0.56
209,Sonic Forces,2017,Platform,Sega,0.15,0.31,0.01,0.09,0.56
210,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.18,0.28,0.00,0.09,0.56
211,Lords of the Fallen,2014,Role-Playing,Square Enix,0.20,0.24,0.02,0.09,0.55
212,Sniper Elite 4,2017,Shooter,Rebellion Developments,0.21,0.25,0.00,0.09,0.55
213,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.19,0.27,0.00,0.09,0.55
214,Project CARS 2,2017,Racing,Namco Bandai Games,0.10,0.35,0.02,0.08,0.55
215,Skylanders: Trap Team,2014,Platform,Activision,0.25,0.18,0.00,0.09,0.52
216,NHL 17,2016,Sports,EA Sports,0.32,0.11,0.00,0.09,0.52
217,One Piece: Pirate Warriors 3,2015,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52
218,DiRT Rally,2016,Racing,Codemasters,0.13,0.30,0.00,0.08,0.51
219,Homefront: The Revolution,2016,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.50
220,Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.50
221,DiRT 4,2017,Racing,Codemasters,0.10,0.30,0.02,0.07,0.49
222,Farpoint,2017,Shooter,Sony Interactive Entertainment,0.00,0.38,0.04,0.06,0.48
223,Battleborn,2016,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48
224,A Way Out,2018,Action,Electronic Arts,0.23,0.16,0.00,0.08,0.48
225,Friday the 13th: The Game,2017,Action,Gun Media,0.29,0.09,0.03,0.08,0.48
226,The Walking Dead: A Telltale Games Series,2014,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48
227,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48
228,Deadpool,2015,Action,Activision,0.26,0.13,0.00,0.08,0.47
229,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,Square Enix,0.05,0.09,0.30,0.03,0.47
230,TrackMania Turbo,2016,Racing,Ubisoft,0.04,0.35,0.00,0.07,0.47
231,Knack 2,2017,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47
232,Just Dance 2014,2013,Music,Ubisoft,0.21,0.18,0.00,0.08,0.47
233,Dissidia Final Fantasy NT,2018,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46
234,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.29,0.09,0.00,0.08,0.45
235,Yakuza Kiwami,2016,Adventure,Sega,0.13,0.07,0.21,0.04,0.45
236,Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07,0.45
237,Star Ocean 5: Integrity and Faithlessness,2016,Role-Playing,Square Enix,0.10,0.13,0.16,0.05,0.45
238,Sleeping Dogs,2014,Action,Square Enix,0.16,0.21,0.00,0.07,0.44
239,Skylanders SWAP Force,2013,Misc,Activision,0.23,0.14,0.00,0.08,0.44
240,Skylanders Imaginators,2016,Platform,Activision,0.18,0.18,0.00,0.07,0.43
241,Trials Fusion,2014,Misc,Ubisoft,0.13,0.23,0.01,0.07,0.43
242,Saints Row IV,2015,Action,Deep Silver,0.15,0.18,0.03,0.06,0.42
243,Dishonored,2015,Action,Bethesda Softworks,0.12,0.21,0.02,0.06,0.42
244,Mirror's Edge 2,2016,Platform,Electronic Arts,0.13,0.19,0.03,0.06,0.42
245,Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.22,0.00,0.07,0.41
246,Just Dance 2015,2014,Music,Ubisoft,0.21,0.13,0.00,0.07,0.41
247,Sword Art Online: Hollow Realization,2016,Role-Playing,Namco Bandai Games,0.18,0.06,0.12,0.05,0.41
248,Just Dance 2016,2015,Music,Ubisoft,0.19,0.13,0.00,0.07,0.39
249,Batman: Arkham VR,2016,Action,Warner Bros. Interactive Entertainment,0.32,0.00,0.00,0.07,0.39
250,Little Nightmares,2017,Platform,Namco Bandai Games,0.18,0.12,0.02,0.06,0.39
251,Tropico 5,2015,Simulation,Kalypso Media,0.07,0.18,0.08,0.05,0.38
252,Life is Strange,2016,Adventure,Square Enix,0.11,0.16,0.05,0.05,0.37
253,Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.18,0.07,0.05,0.37
254,Yakuza Kiwami 2,2017,Action,Sega,0.08,0.06,0.19,0.03,0.37
255,Vampyr,2018,Role-Playing,Focus Home Interactive,0.12,0.19,0.00,0.06,0.37
256,Okami,2017,Action,Capcom,0.16,0.12,0.03,0.06,0.36
257,Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,0.14,0.15,0.03,0.06,0.36
258,Hokuto ga Gotoku,2018,Action,Sega,0.09,0.05,0.18,0.03,0.36
259,Sword Art Online: Lost Song,2015,Role-Playing,Namco Bandai Games,0.19,0.11,0.00,0.06,0.36
260,Disgaea 5: Alliance of Vengeance,2015,Role-Playing,NIS America,0.15,0.08,0.07,0.05,0.35
261,Dead or Alive 5,2015,Fighting,Tecmo Koei,0.09,0.13,0.09,0.04,0.35
262,Gravity Rush 2,2017,Action-Adventure,Sony Interactive Entertainment,0.13,0.05,0.13,0.04,0.35
263,Odin Sphere: Leifthrasir,2016,Role-Playing,NIS America,0.14,0.07,0.09,0.04,0.34
264,Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.13,0.13,0.04,0.05,0.34
265,The King of Fighters XIV,2016,Fighting,Deep Silver,0.21,0.02,0.06,0.05,0.34
266,Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,0.10,0.18,0.00,0.05,0.33
267,Valkyria Chronicles,2016,Role-Playing,Sega,0.14,0.08,0.08,0.04,0.33
268,Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,0.09,0.17,0.02,0.05,0.33
269,Payday 2,2015,Shooter,505 Games,0.12,0.14,0.00,0.05,0.32
270,UEFA Euro 2016,2016,Sports,Konami Digital Entertainment,0.00,0.22,0.05,0.04,0.31
271,DmC: Devil May Cry,2015,Action,Capcom,0.12,0.13,0.00,0.05,0.31
272,Sonic Mania,2017,Platform,Sega,0.10,0.15,0.01,0.05,0.31
273,J Stars Victory Vs.,2015,Fighting,Namco Bandai Games,0.11,0.14,0.00,0.05,0.31
274,XCOM 2,2016,Strategy,2K Games,0.16,0.10,0.00,0.05,0.31
275,Dynasty Warriors 8: Xtreme Legends,2014,Misc,Tecmo Koei,0.09,0.12,0.06,0.04,0.31
276,Cities: Skylines,2017,Simulation,Koch Media,0.15,0.07,0.04,0.05,0.30
277,Saint Seiya: Soldiers' Soul,2015,Fighting,Namco Bandai Games,0.00,0.21,0.05,0.04,0.30
278,Just Dance 2018,2017,Music,Ubisoft,0.10,0.15,0.00,0.05,0.30
279,The Walking Dead: Season Two,2014,Misc,Square Enix,0.13,0.09,0.03,0.05,0.30
280,Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,0.11,0.03,0.13,0.03,0.29
281,Naruto to Boruto: Shinobi Striker,2018,Action,Bandai Namco Games,0.19,0.03,0.02,0.05,0.29
282,Yooka-Laylee,2017,Platform,Sold Out,0.09,0.16,0.00,0.05,0.29
283,Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.06,0.18,0.01,0.04,0.29
284,Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,0.13,0.08,0.03,0.04,0.29
285,Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.10,0.14,0.00,0.05,0.29
286,Star Trek Bridge Crew VR,2017,Action,Ubisoft,0.11,0.12,0.00,0.05,0.28
287,The Heavy Rain and Beyond: Two Souls Collection,2016,Action,Sony Computer Entertainment,0.00,0.24,0.00,0.04,0.28
288,Spintires: MudRunner,2017,Simulation,Focus Home Interactive,0.11,0.12,0.00,0.05,0.28
289,Onechanbara Z2: Chaos,2014,Action,NIS America,0.16,0.03,0.05,0.04,0.28
290,Secret of Mana,2018,Role-Playing,Square Enix,0.06,0.12,0.05,0.04,0.28
291,Gundam Versus,2017,Action,Namco Bandai Games,0.08,0.00,0.18,0.02,0.28
292,NBA Live 14,2013,Sports,EA Sports,0.17,0.05,0.00,0.05,0.27
293,Bravo Team VR,2018,Shooter,Sony Interactive Entertainment,0.12,0.09,0.02,0.04,0.27
294,Killing Floor 2�,2016,Shooter,Tripwire Interactive,0.19,0.03,0.00,0.05,0.27
295,Robinson: The Journey,2016,Action-Adventure,Sony Interactive Entertainment,0.14,0.09,0.00,0.05,0.27
296,DriveClub VR,2016,Racing,Sony Interactive Entertainment,0.12,0.09,0.01,0.04,0.27
297,Fate/Extella: The Umbral Star,2016,Action,PQube,0.12,0.00,0.12,0.03,0.27
298,Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.19,0.00,0.02,0.04,0.26
299,New Danganronpa V3: Minna no Koroshiai Shin Gakki,2017,Adventure,NIS America,0.09,0.05,0.07,0.03,0.25
300,Samurai Warriors 4,2014,Fighting,Tecmo Koei,0.08,0.07,0.06,0.03,0.25
301,Darksiders III,2018,Action,THQ Nordic,0.13,0.07,0.00,0.04,0.25
302,NBA Live 15,2014,Sports,Electronic Arts,0.16,0.04,0.00,0.04,0.25
303,NBA Live 18,2017,Sports,EA Sports,0.20,0.00,0.00,0.05,0.24
304,Tearaway Unfolded,2015,Platform,Sony Computer Entertainment,0.07,0.13,0.00,0.04,0.24
305,.hack//G.U. Last Recode,2017,Role-Playing,Namco Bandai Games,0.10,0.04,0.08,0.03,0.24
306,Ride,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.24
307,Just Dance 2017,2016,Misc,Ubisoft,0.08,0.12,0.00,0.04,0.24
308,The Escapists 2,2017,Action,Sold Out,0.04,0.16,0.00,0.04,0.24
309,Transformers: Devastation,2015,Action,Activision,0.11,0.09,0.00,0.04,0.24
